,0
0,0.11093075806414307
1,-0.47814506522505296
2,0.9027641898876697
3,-0.22478682015584492
4,0.13771712131485633
5,-0.7609865853842612
6,-0.19094288724082384
7,-0.5544085652041284
8,-0.9497007429369372
9,-1.0148461593120917
10,0.9113904220984794
11,0.008788536625411545
12,-0.07272017053521226
13,0.2298992717484938
14,-0.0005300413790425483
15,-0.5606221235947776
16,1.0499123005542317
17,0.011000302467796968
18,0.09888064734734417
19,0.6632908771080114
20,0.09888064734734417
21,0.7847623870593731
22,-0.20774272661636187
23,-0.11702632121091158
24,-0.33805669282027084
25,-0.28633546448531677
26,0.47297163118305213
27,0.640874314286469
28,1.2148951630523652
29,0.37824838187100923
30,-0.4771708678418763
31,-0.4126600272122459
32,0.40324633719452946
33,0.4856476740620619
34,0.11776285521587986
35,0.41430856546451356
36,0.642213345564862
37,0.1817147146243845
38,-0.4745647694503348
39,-0.7218801266628432
40,-0.4283157024302384
41,-0.07427120223698411
42,-1.0108948552383437
43,-0.09808050310013122
44,0.1616996062028327
45,0.07015278601119082
46,1.021933645541471
47,0.20492747974127548
48,-0.16358164771157085
49,-0.16089931741010474
50,-0.0678702151515913
51,-0.4717898587368891
52,0.1502252097863382
53,0.19336112422069482
54,0.059589564704950894
55,-0.7076201177043103
56,-0.12343413171132757
57,-0.533864551295641
58,-0.4421327414059852
59,-0.17903161989833602
60,-1.3340120051697613
61,0.19912866570394092
62,0.38819129750218884
63,1.7253444401440012
64,-0.053895410735104315
65,-0.7758327177783505
66,-0.23679639276570144
67,-0.20361755097275183
68,0.40266980071362546
69,-0.13402796687075522
70,-0.28004373719010184
71,-0.04764440132771291
72,0.13009425663295146
73,-0.11871167289758727
74,0.035058391577625275
75,-0.4530478220403313
76,-1.2355184454571497
77,-0.3699978256559974
78,-1.807731103188016
79,-0.20496660311517395
80,-1.02191196120143
81,-0.7328951705012646
82,-0.21617482349776104
83,-0.22877015962275185
84,0.347996676148623
85,0.07172545854574307
86,-0.6998500314094112
87,0.13845534281023886
88,5.00447848967862
89,-0.3413863674449357
90,-0.3932947277669968
91,0.335062185300589
92,-0.35020078488577555
93,-0.4296863202247495
94,-0.9582497239994805
95,-0.45399863093112436
96,-0.7165576223058088
97,-0.3091644132486263
98,-0.02823071178148557
99,-1.3550456901987216
100,-0.3243124121283897
101,-1.3801501900750621
102,0.25234999527284985
